S.No,"Je suis un (e)","le revenue de votre famille","Vous disposez (plusieurs réponses possible)","vous êtes ","Etes vous motorisé?","combien de voitures disposez vous dans votre famille",Created at,Updated at,User id
637d0f94d2bf800020daf3f0,"Homme ","entre 650 et 1200 dtn par mois ","un climatiseur ","locataire ","false ","1 ",Tue Nov 22 2022 19:06:12 GMT+0100 (Central European Standard Time),Tue Nov 22 2022 19:07:28 GMT+0100 (Central European Standard Time),637d0b161a34f6001f5981a0
634cf3fbdf5acd002af4a065,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Mon Oct 17 2022 07:19:39 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 07:19:49 GMT+0100 (Central European Standard Time),62798c05efa30e001efd2ec9
63530fcbfeb171002b07ef15,"Homme ","plus der 5000 dtn par mois ","un climatiseur ","propiétaire ","true ","plus que 2 ",Fri Oct 21 2022 22:31:55 GMT+0100 (Central European Standard Time),Fri Oct 21 2022 22:32:36 GMT+0100 (Central European Standard Time),633c9d7a134b80002acbc44d
637d48b68f07ee001f8fc132,"Femme ","entre 3000 et 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","true ","1 ",Tue Nov 22 2022 23:09:58 GMT+0100 (Central European Standard Time),Tue Nov 22 2022 23:10:29 GMT+0100 (Central European Standard Time),629158ac579399002a2f4aa8
634d7854117758002aca8e10,"Femme ","entre 1800 et 3000 dtn par mois ","un lave vaisselle ","propiétaire ","false ","aucune ",Mon Oct 17 2022 16:44:20 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 16:44:49 GMT+0100 (Central European Standard Time),6341e5f80119ac001f20f6de
637f11a06ece3e001f87c32f,"Homme ","entre 1800 et 3000 dtn par mois ","un chauffage central ","propiétaire ","true ","1 ",Thu Nov 24 2022 07:39:28 GMT+0100 (Central European Standard Time),Thu Nov 24 2022 07:40:20 GMT+0100 (Central European Standard Time),637644116c0e79001f06736c
6398be99a7cb0d002ad8f041,"Femme ","entre 400 et 650 dtn par mois ","aucun ","propiétaire ","true ","aucune ",Tue Dec 13 2022 19:04:09 GMT+0100 (Central European Standard Time),Tue Dec 13 2022 19:04:33 GMT+0100 (Central European Standard Time),638b37cc4bad50001fc4e715
639cb8d457b1d9002ad933b3,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","plus que 2 ",Fri Dec 16 2022 19:28:36 GMT+0100 (Central European Standard Time),Fri Dec 16 2022 19:28:54 GMT+0100 (Central European Standard Time),638cd4eed2bf80002015a9cc
634d286680094f002a43981e,"Femme ","inferieur à 400 dtn par mois ","une machine a laver semi automatique ","propiétaire ","false ","aucune ",Mon Oct 17 2022 11:03:18 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 11:04:23 GMT+0100 (Central European Standard Time),620c09cea12e7b002ab11812
6398c4d4d96a27002a4b41c9,"Homme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","false ","2 ",Tue Dec 13 2022 19:30:44 GMT+0100 (Central European Standard Time),Tue Dec 13 2022 19:31:19 GMT+0100 (Central European Standard Time),63075b667a312c0020cf825d
63a194fb57b1d9002af392e8,"Homme ","entre 1800 et 3000 dtn par mois ","une machine a laver automatique ","locataire ","false ","1 ",Tue Dec 20 2022 11:56:59 GMT+0100 (Central European Standard Time),Tue Dec 20 2022 11:57:52 GMT+0100 (Central European Standard Time),63a193b8d96a27002a81122b
63a44357d3648d002af14a97,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","1 ",Thu Dec 22 2022 12:45:27 GMT+0100 (Central European Standard Time),Thu Dec 22 2022 12:45:43 GMT+0100 (Central European Standard Time),63a441cafdaea7002aa7c5dd
63a8fa71bf55ec002a098ef6,"Homme ","entre 650 et 1200 dtn par mois ","une machine a laver semi automatique ","locataire ","false ","aucune ",Mon Dec 26 2022 02:35:45 GMT+0100 (Central European Standard Time),Mon Dec 26 2022 02:36:55 GMT+0100 (Central European Standard Time),6213c8c6619553001f581f5a
6398b9d470c7bf002a5b1a1d,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Tue Dec 13 2022 18:43:48 GMT+0100 (Central European Standard Time),Tue Dec 13 2022 18:44:10 GMT+0100 (Central European Standard Time),638a5f8d168860001f614e20
636a1b7e383242002bd9bf07,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","locataire ","true ","aucune ",Tue Nov 08 2022 10:03:58 GMT+0100 (Central European Standard Time),Tue Nov 08 2022 10:04:16 GMT+0100 (Central European Standard Time),636a1a76715f58002ace20ef
634ca9fb051a14002a6a836d,"Homme ","inferieur à 400 dtn par mois ","un climatiseur ","propiétaire ","false ","aucune ",Mon Oct 17 2022 02:03:55 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 02:04:42 GMT+0100 (Central European Standard Time),634ca808427992002a5614dd
637cedb9fe8333001ff178e0,"Homme ","plus der 5000 dtn par mois ","aucun ","propiétaire ","true ","2 ",Tue Nov 22 2022 16:41:45 GMT+0100 (Central European Standard Time),Tue Nov 22 2022 16:42:34 GMT+0100 (Central European Standard Time),637c8bd1b237d7001ffb205d
6377d7d6d0cc24001fdb5ffc,"Homme ","inferieur à 400 dtn par mois ","aucun ","locataire ","true ","aucune ",Fri Nov 18 2022 20:07:02 GMT+0100 (Central European Standard Time),Fri Nov 18 2022 20:08:01 GMT+0100 (Central European Standard Time),636f59069427f9001f6f81cf
637524eef3a00b0020a22f3b,"Homme ","entre 3000 et 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","false ","aucune ",Wed Nov 16 2022 18:59:10 GMT+0100 (Central European Standard Time),Wed Nov 16 2022 18:59:38 GMT+0100 (Central European Standard Time),63752456c3f2ce00209110ba
635056ea740817002a65d17f,"Homme ","entre 3000 et 5000 dtn par mois ","aucun ","locataire ","false ",-,Wed Oct 19 2022 20:58:34 GMT+0100 (Central European Standard Time),Wed Oct 19 2022 20:59:54 GMT+0100 (Central European Standard Time),620e9454619553001f55d2a2
63556db3740817002a8bdbd7,"Femme ","entre 1200 et 1800 dtn par mois ","un climatiseur ","propiétaire ","false ","aucune ",Sun Oct 23 2022 17:37:07 GMT+0100 (Central European Standard Time),Sun Oct 23 2022 17:37:55 GMT+0100 (Central European Standard Time),621246dfbdc1d6001edd6813
63562d41195edb002a0f1e41,"Homme ","entre 1800 et 3000 dtn par mois ","un climatiseur ","propiétaire ","false ","aucune ",Mon Oct 24 2022 07:14:25 GMT+0100 (Central European Standard Time),Mon Oct 24 2022 07:15:02 GMT+0100 (Central European Standard Time),62d351ae8a48ff001ee4069c
634d6f8bfd637f0029a68789,"Homme ","inferieur à 400 dtn par mois ","une machine a laver semi automatique ","locataire ","false ","1 ",Mon Oct 17 2022 16:06:51 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 16:07:12 GMT+0100 (Central European Standard Time),6232357b203e20001fd5a0eb
634d826696b5a9002a468394,"Homme ","entre 3000 et 5000 dtn par mois ","une machine a laver automatique ",-,"true ","aucune ",Mon Oct 17 2022 17:27:18 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 17:27:26 GMT+0100 (Central European Standard Time),6303431d7fbf48001fde6bcb
634dccac6d6572002a233c97,"Homme ","plus der 5000 dtn par mois ",-,"propiétaire ","false ","aucune ",Mon Oct 17 2022 22:44:12 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 22:44:48 GMT+0100 (Central European Standard Time),63497300d2e2ca002b2526cf
63503c47117758002ae052f4,"Femme ","entre 1200 et 1800 dtn par mois ","une machine a laver automatique ","locataire ","false ","1 ",Wed Oct 19 2022 19:04:55 GMT+0100 (Central European Standard Time),Wed Oct 19 2022 19:05:31 GMT+0100 (Central European Standard Time),62b3433eda3dfd0020aececd
634d81ef117758002acad77f,"Femme ","inferieur à 400 dtn par mois ","un chauffage central ","locataire ","false ","aucune ",Mon Oct 17 2022 17:25:19 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 17:26:07 GMT+0100 (Central European Standard Time),632ee200d4b9b5002b17c53b
63639eb7966fa6002a87ede3,"Femme ","inferieur à 400 dtn par mois ","une machine a laver automatique ","locataire ","true ","aucune ",Thu Nov 03 2022 11:57:59 GMT+0100 (Central European Standard Time),Thu Nov 03 2022 14:43:13 GMT+0100 (Central European Standard Time),63639c9ecb720d002a77dc65
