,User id,Club,Genre,Age,Zone géographique,Occupation,Sport,Film,Interactions en ligne,Revenu,Permis de conduire,Motorisé,Que faites vous pendant votre temps libre?,Vous aimez les jeux videos?,vous préférez quelles marques,Que fais tu pendant ton temps libre?,En général quel type d'information as tu besoin?,"Plus globalement, as-tu des projets personnels ?",T’intéresses tu à la politique ?,Vois-tu un intérêt à voter ?,"D’après toi, qu’est-ce qui manque le plus aux jeunes de ton âge?",Vous disposez (plusieurs réponses possible),vous êtes ,combien de voitures disposez vous dans votre famille,j'habite?,Pour me déplacer je prends ,As-tu accès à internet facilement?
2886,6251519358da3b001e90e1e9,tunis,homme,,tunis,lycée,gymnastique,romantique,instagram facebook tik tok,inferieur 400 dtn mois,,false,activités sportives,non,chanel saint laurent dior louis vuitton,activités sportives,autre,projet detudes,false,false,autre,aucun,propiétaire,aucune,"chez, parent",,
2887,621a3a67bdc1d6001ee0f3de,tunis,homme,,tunis,,,action,facebook instagram tik tok autre,inferieur 400 dtn mois,false,false,autre,oui,nike lacoste bos prada,activités sportives,autre,projet particulier,false,false,autre structure sportives sécurité,aucun,propiétaire,aucune,autre,autre,true
2888,627d12dc74e9ee002a04abe3,,homme,,tunis,,,horreur,tik tok,plus der 5000 dtn mois,,false,tvjeux vidéos,non,nike lacoste bos prada,tvjeux vidéos,etudesformations,projet detudes,true,true,évènements culturels,machine a laver automatique,propiétaire,plus 2,foyer,,false
2889,620812a7776c6c002ab7b5d2,,homme,entre 18 24 an,kairouan,,,tragédie,instagram facebook snapshat,entre 3000 5000 dtn mois,true,true,sortie entre amis,oui,nike lacoste bos prada,tvjeux vidéos,autre,voyage,false,true,évènements culturels,climatiseur,locataire,1,,,true
2890,628bf7c474e9ee002a0c7df9,,,,zaghouan,,handball,action,facebook,plus der 5000 dtn mois,,false,activités sportives,non,nike lacoste bos prada,tvjeux vidéos,etudesformations,projet detudes,true,true,évènements culturels,machine a laver automatique,propiétaire,1,,,
2891,626c28eef3fa7c001f69b0a4,tunis,homme,entre 18 24 an,jendouba,,,action,facebook tik tok instagram,entre 1000 1800 dtn mois,false,true,tvjeux vidéos,oui,nike lacoste bos prada,activités sportives tvjeux vidéos,sport losirs,voyage,false,true,évènements culturels,chauffage central,locataire,1,"chez, parent",,false
2892,6208bd1069ce2d0020cffda4,"c, sfaxien",homme,entre 18 24 an,sfax,,,comédie,facebook,entre 1200 1800 dtn mois,false,false,activités sportives internet tvjeux vidéos sortie entre amis,oui,nike lacoste bos prada,internet tvjeux vidéos,métiers sport losirs,projet detudes,false,false,sécurité structure sportives,chauffage central,propiétaire,1,,"taxi, voiture",
2893,6208bbb769ce2d0020cffb5a,,homme,moins 18 an,nabeul,lycée,,science fiction,tik tok instagram facebook,entre 1800 3000 dtn mois,false,false,activités sportives,non,nike lacoste bos prada,activités sportives internet,sport losirs,projet professionnel,false,false,espaces jeunes structure sportives,aucun,locataire,plus 2,"chez, parent",,true
2894,623f7cf2af93ec0020cfd764,,homme,entre 25 34 an,tunis,salariée,,horreur,facebook instagram,inferieur 400 dtn mois,,false,internet,oui,chanel saint laurent dior louis vuitton,activités associatives internet sortie entre amis,offres demploi métiers,voyage,false,false,lieux où demander conseils,aucun,propiétaire,aucune,"chez, parent","bus, metro, taxi",true
2895,620eacfc4413240020f12217,,,entre 18 24 an,tunis,lycée,football,action,facebook instagram,entre 3000 5000 dtn mois,false,true,activités sportives,oui,nike lacoste bos prada,activités sportives,etudesformations,projet detudes,false,true,évènements culturels,machine a laver automatique,locataire,aucune,"chez, parent",bus,false
2896,62754d19052dbe0020a04399,tunis,femme,moins 18 an,tunis,,football,action,facebook,inferieur 400 dtn mois,false,false,internet,oui,chanel saint laurent dior louis vuitton,tvjeux vidéos,autre,projet particulier,false,false,évènements culturels espaces jeunes,aucun,propiétaire,aucune,,,
2897,6239f9386d818c001e37ba49,"club, africain",homme,entre 18 24 an,nabeul,recherche dun emploi,volleyball,action,facebook tik tok,entre 3000 5000 dtn mois,false,false,tvjeux vidéos,oui,chanel saint laurent dior louis vuitton,sortie entre amis tvjeux vidéos activités sportives,sport losirs,projet professionnel voyage,false,false,autre,lave vaisselle,propiétaire,1,"chez, parent",moto,false
2898,6294d546da298a002a0e0734,tunis,homme,entre 18 24 an,tunis,luniversité,football,action,facebook,plus der 5000 dtn mois,,false,activités sportives,oui,chanel saint laurent dior louis vuitton,activités sportives,etudesformations,voyage,false,false,évènements culturels sécurité,machine a laver semi automatique,propiétaire,1,"chez, parent",,
2899,62a0fd0034217c00203e5c68,tunis,,,sfax,lycée,,action,instagram,entre 400 650 dtn mois,false,true,activités sportives,oui,chanel saint laurent dior louis vuitton,activités associatives,projets létranger voyage études emplois,projet particulier,false,false,autre,machine a laver automatique,locataire,2,,bus,true
2900,620e3a36712bb4002a63ea94,,,moins 18 an,tataouine,collège,football,action,tik tok,plus der 5000 dtn mois,true,true,activités sportives,oui,chanel saint laurent dior louis vuitton,tvjeux vidéos,etudesformations,voyage,true,true,évènements culturels,machine a laver automatique,propiétaire,aucune,,voiture,true
2901,621544b44413240020f49b13,tunis,homme,entre 18 24 an,jendouba,lycée,football,action,facebook instagram tik tok,inferieur 400 dtn mois,false,true,activités sportives lecture,oui,chanel saint laurent dior louis vuitton,activités sportives tvjeux vidéos,etudesformations,projet detudes,true,false,espaces jeunes,machine a laver semi automatique,propiétaire,aucune,"chez, parent",bus,
2902,62c9535feb9cc7002a0982dc,"club, africain",homme,entre 18 24 an,jendouba,luniversité,football,science fiction,instagram facebook tik tok snapshat,entre 3000 5000 dtn mois,,false,tvjeux vidéos internet lecture,oui,nike lacoste bos prada,tvjeux vidéos,offres demploi,voyage projet detudes projet professionnel projet humanitaire carritatif,true,true,espaces jeunes sécurité structure sportives évènements culturels transport,climatiseur,locataire,plus 2,,,
2903,62115ac1619553001f5753c8,tunis,homme,entre 18 24 an,nabeul,,football,action,autre,entre 3000 5000 dtn mois,false,false,sortie entre amis autre,oui,nike lacoste bos prada,activités sportives,santé etudesformations métiers offres demploi,projet professionnel voyage projet detudes projet humanitaire carritatif,true,true,évènements culturels espaces jeunes structure sportives,lave vaisselle,locataire,2,,,true
